Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"org.json.XMLParserConfiguration.withXsiTypeMap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,,,,0,,,,6,,,3,4,9,,,,5,1,0,4,5,3,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.withcDataTagName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,0,,,,5,,,2,3,10,,,,3,1,0,3,4,2,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Class,"org.json.XMLTokener",9,5,10,6,38,1,27,9,1,11,2,0,,1,1,,,,8,0,,,,9,44,1,0,0,8,,388,,,,31,,,,262,,,34,187,95,,,,,,,133,168,33,,,141,,,,,,,,28,10,28,16,,2,3,,0,0,"0.36",85,51,91,58
Public Constructor,"org.json.XMLTokener.XMLTokener",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,0,,,,3,,,1,1,4,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Public Constructor,"org.json.XMLTokener.XMLTokener",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,3,,,1,1,4,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Public Method,"org.json.XMLTokener.nextCDATA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,,,,0,,,,16,,,4,10,5,,,,10,3,0,9,12,4,,,9,,,3,3,6,3,3,,,,,3,,2,3,,,"0.31",3,3,6,3
Public Method,"org.json.XMLTokener.nextContent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,,,,0,,,,29,,,3,19,10,,,,10,7,1,15,20,3,,,17,,,8,8,8,6,7,,,,,7,,2,6,,,"0.34",8,8,8,6
Public Method,"org.json.XMLTokener.nextEntity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,,,,0,,,,15,,,4,11,9,,,,9,4,1,9,11,4,,,10,,,4,4,5,4,4,,,,,4,,2,4,,,"0.60",4,4,5,4
Public Method,"org.json.XMLTokener.nextMeta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,68,,,,0,,,,56,,,3,45,12,,,,5,26,1,24,28,3,,,25,,,25,9,25,15,37,,,,,37,,3,37,,,"0.21",25,9,25,15
Public Method,"org.json.XMLTokener.nextToken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,84,,,,4,,,,68,,,4,55,12,,,,10,41,2,31,36,4,,,32,,,28,10,28,16,37,,,,,37,,3,36,,,"0.18",28,10,28,16
Public Method,"org.json.XMLTokener.skipPast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,69,,,,10,,,,42,,,8,27,17,,,,3,43,2,28,36,8,,,29,,,10,10,10,8,9,,,,,9,,3,9,,,"0.40",10,10,10,8
Static Method,"org.json.XMLTokener.unescapeEntity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,,,,0,,,,19,,,3,12,10,,,,9,5,1,8,13,3,,,11,,,5,5,7,4,4,,,,,3,,2,3,,,"0.53",5,5,7,4
Public Generic Interface,"org.json.XMLXsiTypeConverter",0,0,0,0,0,0,0,0,0,1,0,7,,0,0,,,,1,0,,,,1,1,1,0,0,0,,3,,,,0,,,,3,,,2,0,0,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
TypeVariable,"org.json.XMLXsiTypeConverter.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,0,0,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Abstract Method,"org.json.XMLXsiTypeConverter.convert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,0,,,,1,,,1,0,0,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Package,"org.json.junit",1,1,1,1,24,1,18,4,,,,,33,10,3,,18,,418,8,,,,428,,0,11,0,417,,11797,,,,1054,,,,8430,,,2602,6504,2368,,,,,,,4107,4797,1922,,,3724,,,,,,,,21,21,21,1,,,4,,,,"0.28",639,639,659,428
